0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
4,1,0,0,0,14,0,1,0,0,13,1,0,0,0,2,1,0,0,0,11,1,0,0,0,7,0,1,0,0,11,0,0,1,0,0.5735,0.415
2,1,0,0,0,10,0,1,0,0,8,1,0,0,0,10,1,0,0,0,13,0,0,1,0,11,0,0,0,1,8,0,0,0,1,0.4185,0.5665
6,0,0,0,1,7,1,0,0,0,11,0,1,0,0,9,0,1,0,0,10,1,0,0,0,11,0,0,0,1,13,0,1,0,0,0.3975,0.1245
3,0,1,0,0,14,0,0,1,0,3,0,0,0,1,10,0,0,1,0,6,0,0,1,0,6,0,1,0,0,5,0,0,0,1,0.539,0.5725
7,0,0,0,1,12,0,0,1,0,14,1,0,0,0,13,0,1,0,0,9,0,0,1,0,5,0,0,1,0,6,0,0,0,1,0.5245,0.3245
4,0,0,1,0,14,0,0,0,1,6,0,0,1,0,5,0,1,0,0,2,0,1,0,0,8,0,1,0,0,6,1,0,0,0,0.5645,0.362
3,0,0,0,1,8,1,0,0,0,10,0,0,1,0,7,0,1,0,0,13,0,0,1,0,8,0,0,0,1,10,0,0,0,1,0.3585,0.6965
10,0,0,1,0,12,0,1,0,0,2,0,0,0,1,11,0,1,0,0,4,1,0,0,0,13,1,0,0,0,2,1,0,0,0,0.5715,0.313
3,0,1,0,0,4,0,0,0,1,14,0,0,0,1,2,0,0,1,0,7,0,1,0,0,4,0,1,0,0,12,0,0,0,1,0.334,0.5175
2,1,0,0,0,4,0,0,1,0,7,1,0,0,0,3,0,1,0,0,11,0,1,0,0,11,0,0,1,0,13,0,0,1,0,0.353,0.0065
9,1,0,0,0,9,0,0,0,1,6,0,1,0,0,7,0,0,1,0,12,0,0,1,0,5,1,0,0,0,7,0,1,0,0,0.7375,0.7395
13,0,0,0,1,6,0,1,0,0,6,1,0,0,0,11,0,0,1,0,6,0,0,1,0,10,1,0,0,0,6,0,0,0,1,0.545,1.0
