hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
4s,Ah,Ks,2s,Js,7h,Jd,0.5735,0.415
2s,Th,8s,Ts,Kd,Jc,8c,0.4185,0.5665
6c,7s,Jh,9h,Ts,Jc,Kh,0.3975,0.1245
3h,Ad,3c,Td,6d,6h,5c,0.539,0.5725
7c,Qd,As,Kh,9d,5d,6c,0.5245,0.3245
4d,Ac,6d,5h,2h,8h,6s,0.5645,0.362
3c,8s,Td,7h,Kd,8c,Tc,0.3585,0.6965
Td,Qh,2c,Jh,4s,Ks,2s,0.5715,0.313
3h,4c,Ac,2d,7h,4h,Qc,0.334,0.5175
2s,4d,7s,3h,Jh,Jd,Kd,0.353,0.0065
9s,9c,6h,7d,Qd,5s,7h,0.7375,0.7395
Kc,6h,6s,Jd,6d,Ts,6c,0.545,1.0
5h,Ad,7s,9c,5d,Ah,Qc,0.5655,0.959
8s,Qc,Qh,As,9d,Kh,Jh,0.5295,0.5205
4h,9s,8d,2c,8h,5d,6c,0.404,0.0255
6c,Qs,6h,5d,2c,9h,4s,0.508,0.5515
8c,3d,4s,Td,Kc,Kh,6h,0.389,0.0935
Js,6c,2h,Ks,Ad,5s,Ts,0.461,0.2435
5h,4h,2s,8c,Qc,5s,Th,0.4145,0.5295
3d,8s,Kh,9h,Td,Jd,Ks,0.3825,0.1555
Ad,Kd,5h,3d,8h,Jd,7h,0.6805,0.3365
7s,Kh,Ts,Jh,6c,Js,5c,0.5535,0.3725
3h,Qh,2h,5d,2c,5h,Ad,0.4945,0.328
9s,4c,Js,Ad,Th,Ac,2d,0.4205,0.253
Kc,9d,Ts,7s,Qh,Ah,2d,0.573,0.36
3c,Ks,2c,2s,Qc,4h,Qd,0.521,0.4955
4s,7c,8h,Ks,7h,4d,Ac,0.3835,0.9
6d,Qs,Ad,Ah,8d,5h,3d,0.536,0.3245
9s,2c,7s,9h,3s,Kc,3c,0.407,0.692
6s,2d,Th,9s,Kd,Jd,8d,0.3425,0.054
Qs,5c,4h,Td,4s,5d,3c,0.513,0.676
Kh,Tc,Kd,Jd,4c,Th,2h,0.6175,0.951
4c,3s,3h,Qd,Ad,Qh,Td,0.3475,0.5305
Qc,Kd,4d,6s,5s,Ad,Ks,0.608,0.712
2s,4h,Jd,Td,Qc,Js,Kd,0.3475,0.138
9s,Td,Kc,Tc,2c,4d,7c,0.5355,0.468
7s,Jd,6s,Ts,3d,2h,Qs,0.514,0.1435
Ad,8s,5s,Ac,Qh,Jh,6c,0.567,0.869
8c,7h,5h,Kc,Jh,Jd,7s,0.412,0.7205
9c,4s,2h,Tc,As,Ad,Kd,0.4325,0.2565
Ad,5h,6s,8c,Qd,3h,Jh,0.579,0.31
3c,4d,7s,6s,As,3d,5s,0.368,0.6
3h,7s,9h,4d,5h,Jd,Jc,0.3515,0.0485
3c,2c,Ts,Ac,Ad,3s,Qh,0.347,0.546
Ad,6c,9c,Kc,Ah,6d,9h,0.5535,0.883
3d,5d,2d,3s,7h,Ah,4s,0.3915,0.926
7s,7c,9c,Jh,5h,Tc,Ts,0.629,0.5945
Js,4d,7h,2h,5d,2c,6c,0.4395,0.117
Ks,4s,6h,3c,Td,Ac,7s,0.532,0.308
Kh,5c,Qd,8d,9d,5d,Ks,0.5225,0.615
Qs,Qh,2c,Kh,6d,Th,Jd,0.806,0.777
Kc,2d,3d,As,Ad,3s,Th,0.482,0.6195
7d,9s,Qd,2s,5d,Th,Qs,0.4945,0.193
8h,7h,Qc,4s,9s,Jc,5d,0.476,0.124
4s,2d,7d,4h,9h,7s,9s,0.3545,0.017
7h,Js,3s,Th,Kh,9h,As,0.5235,0.24
Jc,5d,7s,6d,3d,Kh,7c,0.4605,0.2255
Kc,Ad,2d,3h,Jc,Ac,7s,0.6565,0.902
Kd,4d,Ac,6d,Qs,Jd,5h,0.5305,0.3145
9h,2d,Td,6s,5s,2h,As,0.369,0.4175
6h,9d,5c,Qh,6d,Ah,Jd,0.4345,0.542
8c,5d,2d,4d,3c,Ks,Qd,0.4155,0.043
Jd,Ts,6d,Ks,7c,Kh,8h,0.555,0.232
Ks,Th,8h,3s,6c,Ah,8s,0.6125,0.4895
4s,3d,8d,6c,4h,3c,5s,0.3475,0.5745
9s,7c,Ac,Qs,3h,4h,4s,0.4695,0.146
8d,6h,4s,3c,7d,Jh,6c,0.465,0.483
4d,2s,7c,3h,2c,Ad,6c,0.3485,0.364
8h,3s,As,2s,2d,2h,Jh,0.378,0.1945
Ad,9h,2d,8d,Ts,Kd,2c,0.6445,0.4165
6h,Ks,3c,6c,7d,5c,9d,0.5585,0.42
Ks,Qd,Tc,Qs,Js,6d,5d,0.6125,0.858
6d,Ad,5c,Jh,Td,Qs,4d,0.6285,0.3005
7h,4c,Ts,Th,3c,Jc,6d,0.384,0.0615
Js,Ad,Th,Ah,9h,7h,6c,0.636,0.442
4h,Th,As,Kc,7c,3c,5c,0.4595,0.081
2c,3d,Kh,4d,8h,Tc,4h,0.309,0.0635
Jh,Kc,Qh,7h,Ac,2d,As,0.5905,0.512
7d,Jc,5d,4s,9h,8d,Ac,0.4855,0.1605
7s,5s,Th,Qs,Qh,Ks,4c,0.4335,0.102
2c,Tc,9s,7s,Kh,Qh,4c,0.446,0.1755
Jc,3s,5s,Kd,8h,4c,7s,0.468,0.0925
Tc,9s,5s,2h,7h,Ac,Td,0.53,0.782
5s,Jc,6h,Kh,8c,2d,7s,0.465,0.1025
5h,9h,2d,3s,Ah,Ac,Qh,0.448,0.126
Qc,Tc,Kd,Td,4h,9s,3c,0.5905,0.7845
2c,Jd,4s,Tc,7d,7s,5h,0.461,0.121
8c,8s,Ad,3c,4d,2s,4c,0.6725,0.605
Kc,Kh,7s,Ts,9h,4s,Jh,0.814,0.69
6h,6s,Kc,Qd,4h,Qs,3s,0.6375,0.7525
9s,4h,6h,Ad,7d,Ks,8s,0.4155,0.0925
5d,4s,Kc,Qc,Td,Ks,Ad,0.3955,0.2015
3c,3d,Qs,Kc,2s,2h,Ah,0.549,0.502
4s,7c,Qh,3h,5c,5s,Kd,0.3845,0.0615
6d,Qc,3c,Ks,7h,Js,7s,0.498,0.3145
3c,6s,9d,8d,Ah,3d,Qd,0.3575,0.232
9s,4c,6s,7s,Qs,Kc,5d,0.4225,0.069
Qc,Th,7c,8s,2h,Qs,As,0.577,0.744
Ts,6h,5s,7s,2c,7c,Kd,0.467,0.1675
Td,Jh,3s,As,8c,4h,4c,0.568,0.3
3d,Ks,3c,7d,Qs,5c,As,0.5455,0.474
Ad,Tc,Js,As,8s,9d,Ks,0.6145,0.5085
2c,9h,As,7h,Ac,4h,Kc,0.3905,0.1925
5s,7c,Ad,Js,7s,Ah,3c,0.3745,0.687
2s,Td,8s,Kd,7d,2d,7c,0.413,0.52
4d,7c,Jd,5d,Ts,Tc,Qs,0.4195,0.133
6s,Qh,8s,7d,Kd,8h,Tc,0.517,0.313
Kc,4s,2h,9h,Qd,6s,8c,0.5415,0.1905
7h,9h,4s,2c,Ts,3h,5c,0.4915,0.0195
Kd,As,Td,3h,Tc,4h,2s,0.6445,0.4695
Ks,8c,9d,Qh,2s,Qs,8d,0.5685,0.755
4h,2h,6h,Jd,4s,7h,8d,0.3715,0.3095
Jd,7d,Ac,Ts,5d,4h,2d,0.511,0.11
Ah,5s,4c,6d,Jh,8c,8s,0.595,0.435
7d,2s,7c,4s,2d,Qs,Ts,0.358,0.8975
2d,8s,7d,4s,Qc,As,Jc,0.3585,0.1
7d,Qh,7s,8d,6s,3c,9s,0.5195,0.363
2c,Jc,Ks,Ah,Th,Js,7d,0.4785,0.5195
Qs,8h,7s,Kc,5c,Jh,4s,0.532,0.2325
9c,2h,2c,Jh,3h,Ac,Js,0.39,0.5725
9d,5c,6s,6d,Jc,7c,Ad,0.419,0.1685
4d,Jc,8s,9s,5h,3s,Jd,0.441,0.777
Th,6d,Ts,Qh,2c,8c,8d,0.4475,0.6765
Jh,Th,2h,4s,Kd,2s,Jc,0.579,0.725
9d,4d,5d,6h,Kh,6c,Td,0.447,0.159
8s,Ad,Ah,7s,Jd,5s,Ts,0.5995,0.816
Kd,Qd,9s,Ks,7d,5h,Jh,0.6215,0.847
Js,5h,6d,4s,7h,6c,6h,0.471,0.2035
Ks,3s,Qs,8h,2d,9d,Td,0.5525,0.138
2d,3s,7h,Jh,2c,8h,As,0.3295,0.4165
3c,3d,5d,Jc,Qc,8d,9s,0.5555,0.281
3c,Ah,Kc,5h,5c,Th,6s,0.532,0.461
Qc,8c,6d,3c,8h,Jd,7c,0.5405,0.7275
Qc,Td,Th,2s,2h,8h,7h,0.581,0.502
Jh,Qs,4h,Tc,Td,Ts,Ac,0.571,0.463
5c,3s,6d,Js,6s,6c,4c,0.3575,0.0295
5c,Kh,Qh,8d,Qd,4d,Js,0.5615,0.327
Kd,Qd,9c,8c,4d,8h,8s,0.629,0.505
6c,3c,Td,7h,5s,Ks,6d,0.396,0.5025
Qc,Ad,Kc,Jc,4s,6h,4c,0.648,0.461
Jh,Th,Jc,9s,3s,6d,5s,0.5635,0.7925
8h,6d,6h,7d,2c,3d,8d,0.419,0.898
Ad,3s,7c,Kc,Jd,Td,Qd,0.563,0.8905
As,7d,Qh,Tc,6c,5h,Ac,0.6,0.8025
8c,8d,Qh,5c,7c,Kc,Kd,0.6905,0.726
6h,3d,6c,Jd,2h,Ah,Jh,0.3885,0.674
6s,Th,8h,As,4s,Qh,Kh,0.469,0.2365
Td,7d,Ts,As,4s,Jc,4h,0.4985,0.5795
8s,Qh,Kc,9s,9h,6h,5h,0.519,0.35
4d,7c,8s,5h,4h,7s,2s,0.3805,0.707
6s,As,4s,Kh,8c,5h,Qc,0.601,0.364
2h,Jd,7d,5s,8d,Kd,Ah,0.448,0.193
Tc,Kh,4d,Qd,4c,Ah,7s,0.5885,0.487
6h,7d,5h,2s,Th,Qs,Qd,0.4095,0.056
8s,9h,Kd,3h,Ts,Ac,7c,0.475,0.2
Jd,Td,6s,7s,3d,Ad,2s,0.566,0.174
3c,8s,Ac,4h,6c,4c,9s,0.384,0.116
Ah,6s,Td,3d,5d,7s,5s,0.574,0.403
5s,5c,5d,8d,3d,2s,Jd,0.5915,0.614
7h,4d,3s,7d,Ac,9h,6s,0.3565,0.609
7c,6d,9s,Tc,4c,8s,8c,0.4185,0.904
Qc,Ah,3h,6d,7d,5d,4d,0.629,0.264
As,5c,2d,4c,Ad,2c,4d,0.585,0.7055
8h,Js,7s,Ks,4d,Ts,2s,0.5215,0.918
9c,Ts,Jd,7d,2c,Jh,8c,0.5395,0.963
7s,9c,Qh,As,Td,2s,Qd,0.442,0.254
4h,Ac,3h,5h,9h,Th,8h,0.5575,0.749
Qc,5d,2h,7h,8d,9d,Jd,0.4975,0.095
Kd,Qc,Jh,Kc,Ah,6c,Jd,0.611,0.7245
Ah,3s,3h,7d,Qs,6d,Qc,0.543,0.584
Jh,8d,3d,As,Ks,5h,6s,0.516,0.2305
Qh,2s,5s,5h,4d,Kh,Qs,0.4655,0.7115
7c,Ks,3h,Ts,Ad,7d,8d,0.5525,0.545
2s,Jc,8s,2d,5d,3d,6d,0.4405,0.177
9s,4h,Jh,Ks,Kd,8s,8c,0.3865,0.2175
Tc,Ks,3s,Ad,9c,2c,5h,0.634,0.272
2h,Js,7s,Ac,Kd,5s,9d,0.4225,0.2215
5s,Jc,5d,4c,Ac,8d,Qd,0.4705,0.516
2s,7c,Kc,Jd,Th,7s,4s,0.351,0.525
3s,Ad,As,6h,3c,Kc,6d,0.5555,0.854
3s,Tc,2d,7d,Th,Jd,Qh,0.4035,0.5915
8c,7s,9c,4h,5s,Kh,7d,0.452,0.6345
Ah,6s,6d,7c,3h,Kc,Tc,0.573,0.5235
8h,9h,2c,2h,Kc,4h,7c,0.5305,0.1315
Kd,8s,Js,2s,4d,2c,2h,0.5865,0.468
5c,4c,Qd,Qs,Kh,6h,9d,0.4305,0.0335
Kc,7d,5s,Js,4s,7s,Ks,0.546,0.378
3h,5c,Qs,Kd,Qh,6s,Ks,0.363,0.0625
4s,7d,4h,Qs,2s,8d,7h,0.3575,0.9255
4s,Ah,2c,Jh,Qd,3s,8c,0.6,0.3035
7s,7d,Qs,4c,4s,Qd,5d,0.6595,0.8015
Qh,2h,9h,Kc,7d,4d,Ac,0.53,0.32
7c,8d,Tc,Jd,4c,8c,Th,0.4745,0.6395
5h,5c,Kh,3c,Qs,6s,9c,0.5885,0.4945
4c,8c,5h,Th,Ks,9c,2d,0.422,0.084
2h,8c,4s,Jd,9h,3h,Ad,0.3575,0.0805
5c,Js,4d,8s,Kc,3h,Jh,0.4615,0.7595
2h,5s,7s,Ac,Kh,9c,2d,0.3595,0.4625
6d,2d,5s,7s,3d,6h,4d,0.3695,0.422
Tc,9h,Jh,9s,Kc,7s,Qc,0.492,0.928
7h,6h,2s,Qd,8d,8s,As,0.455,0.1025
7d,Qd,8s,2h,Qs,8c,Ad,0.549,0.75
2c,9s,7s,6d,Jh,Kh,7h,0.377,0.1685
5c,8s,6c,5d,7d,Jc,Qd,0.404,0.4285
6h,4h,Qc,6c,7s,Th,2d,0.405,0.5245
6d,Kh,Ah,2c,3s,Th,7h,0.5565,0.318
6h,Jd,Js,Qs,Ts,3s,6c,0.461,0.5745
5d,5s,3d,Ac,Td,Ts,8h,0.618,0.623
Ah,6s,Jh,8s,5s,Kh,8d,0.549,0.465
3c,Kd,6c,Tc,7d,5c,3s,0.5275,0.321
As,7s,7h,6h,Th,8h,Jd,0.5905,0.249
Td,7s,Qd,9h,2c,5s,5c,0.481,0.177
Tc,Ks,2s,Jh,6h,Kh,9d,0.584,0.8075
4s,6s,Qh,9c,3c,Qc,Jh,0.427,0.0555
8c,7h,5s,9h,Qc,Kh,6h,0.4515,0.9565
3c,Kh,8s,7s,6d,8c,5s,0.5005,0.1385
Ad,7d,8c,Td,2s,6s,Th,0.6085,0.44
Jd,5d,5h,Ts,Jc,Jh,9s,0.4975,0.9915
Kc,2h,Tc,4h,9d,Js,As,0.514,0.328
Qh,5d,3c,7h,5c,7c,As,0.5145,0.6635
2h,5d,8d,Qs,4d,Qh,3h,0.3345,0.0065
8s,Kc,9h,7h,Ac,Qc,Td,0.5585,0.322
2d,3s,Ah,6h,9c,Kc,6s,0.3195,0.102
2c,4h,4s,6d,6c,Ah,2d,0.3215,0.683
5d,As,8s,7h,Qs,4c,2d,0.5835,0.311
Ad,Tc,7h,Js,7s,3d,3s,0.6225,0.6
3d,Kd,3c,Ad,5h,7h,7c,0.541,0.548
Jd,3h,Ac,8d,6h,Ts,Td,0.481,0.226
6d,4c,Qh,2d,7s,Ad,4d,0.368,0.4875
Ad,As,Jc,4d,8d,Js,6c,0.859,0.8845
7s,9s,7h,6h,8h,4s,Ah,0.4945,0.2725
Jh,8s,Qh,Tc,9d,3s,Td,0.4845,0.96
9h,Tc,7s,Ac,As,9s,Qs,0.525,0.422
As,6c,Qh,Ac,Jh,5d,4d,0.5515,0.83
7h,3s,4h,6s,5c,8h,Td,0.385,0.929
Qd,4c,9d,Kd,5h,7c,3c,0.506,0.2145
Kc,5s,8s,5d,2d,Th,8c,0.5315,0.719
7c,2h,7s,Jd,6d,Jc,Tc,0.341,0.6985
9h,Jd,5c,7s,3s,4h,Tc,0.527,0.063
