board1_val,board1_C,board1_D,board1_H,board1_S,board2_val,board2_C,board2_D,board2_H,board2_S,board3_val,board3_C,board3_D,board3_H,board3_S,board4_val,board4_C,board4_D,board4_H,board4_S,board5_val,board5_C,board5_D,board5_H,board5_S,p1_card1_val,p1_card1_C,p1_card1_D,p1_card1_H,p1_card1_S,p1_card2_val,p1_card2_C,p1_card2_D,p1_card2_H,p1_card2_S,p2_card1_val,p2_card1_C,p2_card1_D,p2_card1_H,p2_card1_S,p2_card2_val,p2_card2_C,p2_card2_D,p2_card2_H,p2_card2_S,p3_card1_val,p3_card1_C,p3_card1_D,p3_card1_H,p3_card1_S,p3_card2_val,p3_card2_C,p3_card2_D,p3_card2_H,p3_card2_S,p4_card1_val,p4_card1_C,p4_card1_D,p4_card1_H,p4_card1_S,p4_card2_val,p4_card2_C,p4_card2_D,p4_card2_H,p4_card2_S,p5_card1_val,p5_card1_C,p5_card1_D,p5_card1_H,p5_card1_S,p5_card2_val,p5_card2_C,p5_card2_D,p5_card2_H,p5_card2_S,p6_card1_val,p6_card1_C,p6_card1_D,p6_card1_H,p6_card1_S,p6_card2_val,p6_card2_C,p6_card2_D,p6_card2_H,p6_card2_S,winner,cartes_str,mains_description,p1_win_prob,p2_win_prob,p3_win_prob,p4_win_prob,p5_win_prob,p6_win_prob
6,0,0,1,0,7,0,1,0,0,14,0,0,1,0,4,1,0,0,0,2,0,0,0,1,9,1,0,0,0,2,0,0,1,0,12,0,0,1,0,4,0,0,1,0,8,0,0,1,0,3,0,1,0,0,6,0,0,0,1,4,0,0,0,1,2,0,1,0,0,5,0,0,0,1,10,0,1,0,0,14,0,0,0,1,P4,BOARD: 6H 7D AH 4C 2S | P1: 9C 2H | P2: QH 4H | P3: 8H 3D | P4: 6S 4S | P5: 2D 5S | P6: TD AS,P1: Pair | P2: Pair | P3: High Card | P4: Two Pair | P5: Pair | P6: Pair,0.0,0.0,0.0,100.0,0.0,0.0
2,0,0,1,0,6,0,1,0,0,8,0,0,0,1,12,0,1,0,0,3,0,0,1,0,7,0,0,0,1,7,1,0,0,0,13,0,0,1,0,4,1,0,0,0,3,1,0,0,0,4,0,1,0,0,4,0,0,1,0,9,0,1,0,0,5,0,0,1,0,10,0,0,1,0,12,0,0,1,0,12,1,0,0,0,P6,BOARD: 2H 6D 8S QD 3H | P1: 7S 7C | P2: KH 4C | P3: 3C 4D | P4: 4H 9D | P5: 5H TH | P6: QH QC,P1: Pair | P2: High Card | P3: Pair | P4: High Card | P5: High Card | P6: Three of a Kind,0.0,0.0,0.0,0.0,0.0,100.0
12,0,1,0,0,3,0,1,0,0,11,0,1,0,0,2,1,0,0,0,13,1,0,0,0,13,0,1,0,0,5,1,0,0,0,12,0,0,1,0,12,1,0,0,0,7,1,0,0,0,11,0,0,1,0,6,0,1,0,0,8,1,0,0,0,5,0,0,0,1,9,0,1,0,0,6,0,0,1,0,9,0,0,0,1,P2,BOARD: QD 3D JD 2C KC | P1: KD 5C | P2: QH QC | P3: 7C JH | P4: 6D 8C | P5: 5S 9D | P6: 6H 9S,P1: Pair | P2: Three of a Kind | P3: Pair | P4: High Card | P5: High Card | P6: High Card,0.0,100.0,0.0,0.0,0.0,0.0
5,0,0,0,1,11,0,1,0,0,13,1,0,0,0,14,0,0,1,0,14,1,0,0,0,5,1,0,0,0,9,0,1,0,0,4,0,0,1,0,11,1,0,0,0,4,1,0,0,0,10,0,0,0,1,3,0,0,1,0,3,0,0,0,1,10,1,0,0,0,2,0,0,0,1,7,1,0,0,0,7,0,0,0,1,P2,BOARD: 5S JD KC AH AC | P1: 5C 9D | P2: 4H JC | P3: 4C TS | P4: 3H 3S | P5: TC 2S | P6: 7C 7S,P1: Two Pair | P2: Two Pair | P3: Pair | P4: Two Pair | P5: Pair | P6: Two Pair,0.0,100.0,0.0,0.0,0.0,0.0
4,0,0,1,0,5,0,0,0,1,8,0,0,0,1,4,0,1,0,0,11,1,0,0,0,6,0,1,0,0,10,0,0,0,1,14,0,0,0,1,9,1,0,0,0,11,0,0,1,0,2,0,1,0,0,11,0,0,0,1,8,0,0,1,0,4,0,0,0,1,2,1,0,0,0,7,0,0,0,1,13,0,0,0,1,P5,BOARD: 4H 5S 8S 4D JC | P1: 6D TS | P2: AS 9C | P3: JH 2D | P4: JS 8H | P5: 4S 2C | P6: 7S KS,P1: Pair | P2: Pair | P3: Two Pair | P4: Two Pair | P5: Three of a Kind | P6: Pair,0.0,0.0,0.0,0.0,100.0,0.0
3,0,0,0,1,14,0,1,0,0,9,0,1,0,0,10,0,1,0,0,2,1,0,0,0,12,1,0,0,0,4,1,0,0,0,2,0,0,1,0,3,0,0,1,0,9,1,0,0,0,11,0,0,0,1,7,0,1,0,0,4,0,0,0,1,13,0,0,0,1,8,0,0,1,0,6,0,0,0,1,10,0,0,1,0,P2,BOARD: 3S AD 9D TD 2C | P1: QC 4C | P2: 2H 3H | P3: 9C JS | P4: 7D 4S | P5: KS 8H | P6: 6S TH,P1: High Card | P2: Two Pair | P3: Pair | P4: High Card | P5: High Card | P6: Pair,0.0,100.0,0.0,0.0,0.0,0.0
2,0,0,1,0,11,1,0,0,0,8,0,0,0,1,6,1,0,0,0,10,0,1,0,0,4,0,0,0,1,13,0,0,1,0,12,1,0,0,0,4,1,0,0,0,7,1,0,0,0,5,0,1,0,0,11,0,1,0,0,14,0,0,0,1,12,0,0,1,0,6,0,0,1,0,11,0,0,0,1,4,0,1,0,0,P4,BOARD: 2H JC 8S 6C TD | P1: 4S KH | P2: QC 4C | P3: 7C 5D | P4: JD AS | P5: QH 6H | P6: JS 4D,P1: High Card | P2: High Card | P3: High Card | P4: Pair | P5: Pair | P6: Pair,0.0,0.0,0.0,100.0,0.0,0.0
6,0,1,0,0,6,1,0,0,0,9,0,0,0,1,7,1,0,0,0,13,1,0,0,0,14,0,0,1,0,6,0,0,1,0,10,0,0,0,1,11,0,0,0,1,8,1,0,0,0,5,0,1,0,0,13,0,0,1,0,10,1,0,0,0,9,1,0,0,0,10,0,1,0,0,2,0,1,0,0,2,1,0,0,0,P3,BOARD: 6D 6C 9S 7C KC | P1: AH 6H | P2: TS JS | P3: 8C 5D | P4: KH TC | P5: 9C TD | P6: 2D 2C,P1: Three of a Kind | P2: Pair | P3: Straight | P4: Two Pair | P5: Two Pair | P6: Two Pair,0.0,0.0,100.0,0.0,0.0,0.0
6,0,0,0,1,11,1,0,0,0,11,0,0,0,1,4,0,0,1,0,8,0,0,0,1,8,0,1,0,0,11,0,0,1,0,2,1,0,0,0,7,0,0,0,1,14,0,1,0,0,13,0,1,0,0,6,0,1,0,0,9,0,1,0,0,8,1,0,0,0,9,0,0,1,0,6,0,0,1,0,2,0,0,0,1,P1,BOARD: 6S JC JS 4H 8S | P1: 8D JH | P2: 2C 7S | P3: AD KD | P4: 6D 9D | P5: 8C 9H | P6: 6H 2S,P1: Full House | P2: Pair | P3: Pair | P4: Two Pair | P5: Two Pair | P6: Two Pair,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0,0,11,1,0,0,0,6,0,0,1,0,9,0,0,1,0,9,1,0,0,0,8,0,0,0,1,13,0,0,0,1,3,0,1,0,0,9,0,0,0,1,2,0,0,1,0,14,0,0,1,0,5,1,0,0,0,2,0,0,0,1,10,0,0,1,0,7,1,0,0,0,10,0,0,0,1,6,0,0,0,1,P2,BOARD: 2D JC 6H 9H 9C | P1: 8S KS | P2: 3D 9S | P3: 2H AH | P4: 5C 2S | P5: TH 7C | P6: TS 6S,P1: Pair | P2: Three of a Kind | P3: Two Pair | P4: Two Pair | P5: Pair | P6: Two Pair,0.0,100.0,0.0,0.0,0.0,0.0
6,0,0,0,1,5,0,0,1,0,10,0,1,0,0,14,0,1,0,0,12,0,0,0,1,13,0,1,0,0,14,0,0,1,0,3,0,1,0,0,9,0,1,0,0,4,0,0,0,1,8,1,0,0,0,11,1,0,0,0,9,0,0,1,0,5,0,0,0,1,14,1,0,0,0,8,0,1,0,0,3,0,0,1,0,P5,BOARD: 6S 5H TD AD QS | P1: KD AH | P2: 3D 9D | P3: 4S 8C | P4: JC 9H | P5: 5S AC | P6: 8D 3H,P1: Pair | P2: High Card | P3: High Card | P4: High Card | P5: Two Pair | P6: High Card,0.0,0.0,0.0,0.0,100.0,0.0
10,1,0,0,0,9,0,0,0,1,6,1,0,0,0,2,0,1,0,0,11,0,0,1,0,8,0,1,0,0,14,0,0,1,0,2,1,0,0,0,5,1,0,0,0,11,0,0,0,1,14,0,0,0,1,4,0,1,0,0,3,0,0,0,1,4,1,0,0,0,2,0,0,1,0,12,1,0,0,0,3,1,0,0,0,P3,BOARD: TC 9S 6C 2D JH | P1: 8D AH | P2: 2C 5C | P3: JS AS | P4: 4D 3S | P5: 4C 2H | P6: QC 3C,P1: High Card | P2: Pair | P3: Pair | P4: High Card | P5: Pair | P6: High Card,0.0,0.0,100.0,0.0,0.0,0.0
5,0,0,0,1,9,0,0,0,1,5,1,0,0,0,9,0,0,1,0,9,0,1,0,0,3,0,0,1,0,14,0,0,1,0,3,1,0,0,0,4,1,0,0,0,6,0,1,0,0,13,0,0,0,1,4,0,1,0,0,12,0,1,0,0,3,0,1,0,0,6,1,0,0,0,2,0,0,1,0,11,1,0,0,0,P1_P2_P3_P4_P5_P6,BOARD: 5S 9S 5C 9H 9D | P1: 3H AH | P2: 3C 4C | P3: 6D KS | P4: 4D QD | P5: 3D 6C | P6: 2H JC,P1: Full House | P2: Full House | P3: Full House | P4: Full House | P5: Full House | P6: Full House,16.67,16.67,16.67,16.67,16.67,16.67
9,0,1,0,0,8,0,1,0,0,5,0,0,0,1,4,0,1,0,0,14,0,0,0,1,3,1,0,0,0,9,1,0,0,0,9,0,0,0,1,6,0,0,1,0,10,0,0,0,1,11,0,1,0,0,6,0,1,0,0,10,0,0,1,0,2,0,0,1,0,7,0,0,0,1,6,0,0,0,1,7,1,0,0,0,P6,BOARD: 9D 8D 5S 4D AS | P1: 3C 9C | P2: 9S 6H | P3: TS JD | P4: 6D TH | P5: 2H 7S | P6: 6S 7C,P1: Pair | P2: Pair | P3: High Card | P4: High Card | P5: High Card | P6: Straight,0.0,0.0,0.0,0.0,0.0,100.0
9,1,0,0,0,5,1,0,0,0,3,0,0,0,1,8,0,0,0,1,14,1,0,0,0,12,0,0,0,1,10,1,0,0,0,7,0,0,0,1,9,0,0,1,0,9,0,0,0,1,2,0,1,0,0,5,0,1,0,0,4,0,0,1,0,2,0,0,1,0,14,0,0,1,0,4,0,0,0,1,3,0,1,0,0,P5,BOARD: 9C 5C 3S 8S AC | P1: QS TC | P2: 7S 9H | P3: 9S 2D | P4: 5D 4H | P5: 2H AH | P6: 4S 3D,P1: High Card | P2: Pair | P3: Pair | P4: Pair | P5: Pair | P6: Pair,0.0,0.0,0.0,0.0,100.0,0.0
6,0,0,1,0,8,1,0,0,0,8,0,0,1,0,10,0,1,0,0,4,0,0,0,1,11,0,0,1,0,8,0,0,0,1,6,1,0,0,0,12,0,1,0,0,5,0,1,0,0,14,0,0,1,0,13,0,0,1,0,12,0,0,1,0,5,1,0,0,0,6,0,1,0,0,10,0,0,0,1,13,0,0,0,1,P1,BOARD: 6H 8C 8H TD 4S | P1: JH 8S | P2: 6C QD | P3: 5D AH | P4: KH QH | P5: 5C 6D | P6: TS KS,P1: Three of a Kind | P2: Two Pair | P3: Pair | P4: Pair | P5: Two Pair | P6: Two Pair,100.0,0.0,0.0,0.0,0.0,0.0
