P1_main,P2_main,P3_main,P4_main,P5_main,P6_main,P1_proba_postflop,P2_proba_postflop,P3_proba_postflop,P4_proba_postflop,P5_proba_postflop,P6_proba_postflop,P1_proba_board_complet,P2_proba_board_complet,P3_proba_board_complet,P4_proba_board_complet,P5_proba_board_complet,P6_proba_board_complet
QH 6C,9D 7H,KC QD,AC TD,JD 6H,4D JS,12.5,49.0,9.33,15.0,9.5,4.67,100.0,0.0,0.0,0.0,0.0,0.0
AC QC,JC 7S,4H 8D,7C 8H,6D 8C,TS 3D,81.0,1.0,2.0,5.0,9.33,1.67,100.0,0.0,0.0,0.0,0.0,0.0
9D 7D,8C QS,9S KC,QC 4C,QD 6S,2D 9C,14.33,11.33,18.67,7.33,47.67,0.67,100.0,0.0,0.0,0.0,0.0,0.0
5S 5H,2S 6S,9D KS,KD 2H,4S 8H,7H QC,20.33,14.33,22.0,6.0,21.0,16.33,0.0,0.0,100.0,0.0,0.0,0.0
3H KC,JH 4C,5H 2C,8H 8D,9H TS,7C 8C,9.33,17.67,13.67,20.0,19.67,19.67,0.0,0.0,0.0,0.0,100.0,0.0
8H 4S,7D 2S,TD AD,8C 6H,KC AS,6D QS,7.33,0.67,25.33,9.17,26.33,31.17,0.0,0.0,0.0,0.0,100.0,0.0
JH QS,3S KH,3D 4H,6S 5H,2D 7D,3H JD,69.44,11.44,3.11,1.78,6.44,7.78,100.0,0.0,0.0,0.0,0.0,0.0
AD QD,2H 4S,5C 4D,9S KH,2S QH,QS TS,19.33,2.0,38.0,5.33,26.67,8.67,0.0,0.0,100.0,0.0,0.0,0.0
AH 4C,6D AS,QS 7D,TC TH,6C 5C,9S 4S,6.0,4.67,14.33,64.0,8.67,2.33,0.0,0.0,0.0,100.0,0.0,0.0
KH 8C,TD QD,7C JC,2D KD,JS AH,2C AC,7.67,7.67,69.67,3.67,10.67,0.67,0.0,0.0,0.0,0.0,100.0,0.0
2D 7C,7S JD,TD 8H,2S 8C,3C 9S,QH 2H,2.72,21.61,17.44,2.89,23.94,31.39,0.0,0.0,0.0,0.0,0.0,100.0
AS JH,8C 3D,5C 3S,9C 3C,8S QC,7C 6S,22.78,0.94,0.11,2.11,16.94,57.11,100.0,0.0,0.0,0.0,0.0,0.0
6S 7C,3C KD,7S JS,2H JH,2C 8D,6H 7D,7.33,12.72,21.5,8.06,43.06,7.33,0.0,0.0,0.0,50.0,50.0,0.0
9C AS,6S 6C,KC 7S,8C 3S,JC 9S,3H 8H,13.67,10.0,21.67,0.33,44.67,9.67,0.0,0.0,0.0,0.0,100.0,0.0
AH 9D,7H KC,4D 7C,9C JH,QH 9H,8C 2C,8.11,1.0,2.33,13.44,16.78,58.33,100.0,0.0,0.0,0.0,0.0,0.0
5S 5D,2D 2H,KC 4H,QD JH,TS 3S,KH AC,22.72,11.06,0.72,25.39,13.72,26.39,0.0,0.0,0.0,0.0,0.0,100.0
6C 9C,6S QS,2D 4D,4S KS,AD AH,QC QH,22.17,2.17,12.33,12.0,48.67,2.67,0.0,0.0,0.0,100.0,0.0,0.0
3H 7D,JC 8C,AH KC,QC 7H,3D 9S,JS 6H,17.17,10.67,16.0,32.17,2.33,21.67,100.0,0.0,0.0,0.0,0.0,0.0
5C AD,7C 3C,9H 3H,7S KH,3S TH,3D 8S,19.0,0.67,15.67,61.67,2.67,0.33,0.0,0.0,100.0,0.0,0.0,0.0
5S 5H,7C AH,QS KS,TC AC,JH AD,QH 7D,7.0,0.28,55.33,0.78,36.44,0.17,0.0,0.0,0.0,0.0,100.0,0.0
KC TS,QS JS,7C 2C,TD 5H,5C 9H,7S 6D,4.33,27.0,55.33,1.0,2.67,9.67,0.0,0.0,100.0,0.0,0.0,0.0
2H TH,5H 3H,AC AS,8C 7C,6D 4H,5D TC,43.83,0.67,50.67,3.0,0.33,1.5,100.0,0.0,0.0,0.0,0.0,0.0
TH JC,AD JD,9S 9H,7S QC,KC 8D,QS 8H,9.33,51.67,4.67,1.5,32.17,0.67,100.0,0.0,0.0,0.0,0.0,0.0
8D TS,AH 4H,AC 5C,5S 4C,2H QH,QD AD,15.0,2.11,31.44,4.33,0.33,46.78,0.0,0.0,100.0,0.0,0.0,0.0
AH 4S,TC 2H,4D 5S,TD 6H,KH AC,AS 7C,1.67,4.17,13.67,56.17,19.33,5.0,0.0,50.0,0.0,50.0,0.0,0.0
TC 7S,8H 4H,KD 2D,6H 5H,5D 9S,TH KH,3.33,3.67,3.67,77.33,9.33,2.67,0.0,0.0,0.0,100.0,0.0,0.0
3H 7S,6H 5S,8C 7H,8S 3C,AD 3S,QD 9D,3.17,18.0,10.5,2.0,60.33,6.0,0.0,100.0,0.0,0.0,0.0,0.0
2D 3D,7C 3H,TC 5C,4D AC,2S 2C,7D JD,0.0,5.67,4.33,2.67,5.0,82.33,0.0,0.0,0.0,0.0,0.0,100.0
2H 9H,QH 4S,KH 7H,JD 6H,9S 2S,QD TC,1.0,2.83,38.33,5.0,1.0,51.83,0.0,0.0,100.0,0.0,0.0,0.0
8C KC,8S AC,6C 3D,AH JH,7D 7C,QS 7H,0.0,0.0,0.67,0.0,68.33,31.0,0.0,0.0,0.0,0.0,100.0,0.0
KH 8S,8C 9C,5H 9D,TS JC,9H QD,5S QS,46.0,6.0,0.67,8.0,1.0,38.33,100.0,0.0,0.0,0.0,0.0,0.0
AS QC,8H 7H,KC 6D,KD TH,AD 4S,2H 5S,53.67,27.67,3.17,13.83,1.0,0.67,0.0,100.0,0.0,0.0,0.0,0.0
